,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Meulaboh,ID,4.1363,96.1285,78.31,84,99,0.67,overcast clouds
181,Ishigaki,JP,24.3448,124.1572,64.53,94,100,11.5,overcast clouds
182,Esna,EG,25.2934,32.554,61.88,25,0,9.46,clear sky
183,Sergeyevka,KZ,53.88,67.4158,-3.53,97,5,5.1,clear sky
184,Rio Tercero,AR,-32.173,-64.1141,77.79,60,40,2.37,scattered clouds
185,Amapa,BR,1.0,-52.0,80.89,71,99,4.43,overcast clouds
186,Kodiak,US,57.79,-152.4072,27.91,86,20,5.75,few clouds
187,Nanortalik,GL,60.1432,-45.2371,19.13,74,100,20.6,overcast clouds
188,Kaitangata,NZ,-46.2817,169.8464,61.47,95,100,2.19,overcast clouds
189,Pundaguitan,PH,6.3711,126.1689,80.31,79,44,16.53,scattered clouds
190,Ampanihy,MG,-24.7,44.75,75.94,74,81,12.66,broken clouds
191,Comodoro Rivadavia,AR,-45.8667,-67.5,80.46,19,0,13.8,clear sky
192,Oranjemund,NA,-28.55,16.4333,68.27,67,0,24.74,clear sky
193,Acajutla,SV,13.5928,-89.8275,85.41,48,7,4.68,clear sky
194,Coquimbo,CL,-29.9533,-71.3436,67.73,72,20,16.11,few clouds
195,Den Helder,NL,52.9599,4.7593,47.01,93,100,15.99,overcast clouds
196,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,74,100,4.61,overcast clouds
197,Denia,ES,38.8408,0.1057,59.63,58,0,5.01,clear sky
198,Guerrero Negro,MX,27.9769,-114.0611,57.78,55,23,2.77,few clouds
199,Letterkenny,IE,54.95,-7.7333,51.69,77,94,19.13,overcast clouds
200,Penzance,GB,50.1186,-5.5371,51.12,87,40,18.41,scattered clouds
201,Lakes Entrance,AU,-37.8811,147.981,49.15,84,48,9.57,scattered clouds
202,Maceio,BR,-9.6658,-35.7353,87.24,66,75,11.5,broken clouds
203,Honiara,SB,-9.4333,159.95,77.25,88,100,2.1,overcast clouds
204,Inta,RU,66.0317,60.1659,13.91,96,93,6.91,overcast clouds
205,Ust-Koksa,RU,50.2696,85.6108,8.42,88,27,1.21,scattered clouds
206,Wexford,IE,52.3342,-6.4575,54.12,94,100,14.0,overcast clouds
207,Te Anau,NZ,-45.4167,167.7167,61.39,98,93,2.71,light rain
208,Cockburn Town,TC,21.4612,-71.1419,78.76,61,20,17.27,few clouds
209,Florida,US,28.7505,-82.5001,73.9,88,100,0.0,overcast clouds
210,Nelson Bay,AU,-32.7167,152.15,75.25,97,0,4.0,clear sky
211,Filingue,NE,14.3521,3.3168,96.91,9,84,10.29,broken clouds
212,Zafra,ES,38.4167,-6.4167,55.29,42,0,5.57,clear sky
213,Qaqortoq,GL,60.7167,-46.0333,9.91,85,56,4.41,broken clouds
214,Goderich,CA,43.7501,-81.7165,30.9,69,65,20.71,broken clouds
215,Batagay,RU,67.6333,134.6333,-29.56,98,99,2.17,overcast clouds
216,Arman,RU,59.7,150.1667,-0.15,94,97,7.7,overcast clouds
217,Necochea,AR,-38.5473,-58.7368,73.18,66,80,10.96,light rain
218,Lashio,MM,22.9333,97.75,67.75,48,100,2.8,overcast clouds
219,Manaure,CO,11.7751,-72.4445,84.34,50,1,24.07,clear sky
220,Saint-Pierre,RE,-21.3393,55.4781,82.08,78,75,17.27,broken clouds
221,Springdale,US,36.1867,-94.1288,32.74,72,100,3.44,overcast clouds
222,Havoysund,NO,70.9963,24.6622,26.83,67,100,0.81,light snow
223,Maraa,BR,-1.8333,-65.3667,89.19,54,35,5.12,heavy intensity rain
224,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,74,75,9.22,broken clouds
225,Santa Cruz De Tenerife,ES,28.4682,-16.2546,68.61,64,20,14.97,few clouds
226,Bjorkelangen,NO,59.8848,11.5694,27.39,91,13,0.63,few clouds
227,Borovskoy,KZ,53.8,64.15,-2.06,91,91,2.8,overcast clouds
228,Ankang,CN,32.68,109.0172,39.63,52,87,1.61,overcast clouds
229,Barrow,US,71.2906,-156.7887,-5.78,84,100,13.8,light snow
230,Chuy,UY,-33.6971,-53.4616,81.68,55,83,10.98,broken clouds
231,Darhan,MN,49.4867,105.9228,-9.2,97,73,5.19,broken clouds
232,Sitka,US,57.0531,-135.33,42.69,65,100,10.36,overcast clouds
233,Contramaestre,CU,20.2978,-76.2414,86.36,41,31,12.37,scattered clouds
234,Zemio,CF,5.0314,25.1361,93.33,16,35,4.25,scattered clouds
235,Fort Nelson,CA,58.8053,-122.7002,-14.06,82,40,0.0,light snow
236,Klamath Falls,US,42.2249,-121.7817,31.86,74,0,0.0,clear sky
237,Boca Do Acre,BR,-8.7522,-67.3978,78.15,89,92,3.96,heavy intensity rain
238,Port-Gentil,GA,-0.7193,8.7815,78.76,78,40,12.66,thunderstorm
239,Naze,JP,28.3667,129.4833,52.72,68,5,8.77,clear sky
240,Iqaluit,CA,63.7506,-68.5145,-36.67,67,20,4.61,few clouds
241,College,US,64.8569,-147.8028,11.59,85,100,4.61,light snow
242,Alekseyevsk,RU,57.8406,108.3492,7.74,95,100,9.08,light snow
243,Caravelas,BR,-17.7125,-39.2481,87.93,43,11,10.6,few clouds
244,Hithadhoo,MV,-0.6,73.0833,82.24,66,96,15.52,overcast clouds
245,Dukat,RU,62.55,155.55,-16.69,96,32,2.1,scattered clouds
246,Reitoca,HN,13.8258,-87.4653,81.72,34,8,8.46,clear sky
247,Hanna,CA,51.6334,-111.9018,-2.15,84,100,17.0,overcast clouds
248,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,77,71,12.44,broken clouds
249,Pueblo Bello,CO,8.2041,-76.526,84.7,50,3,3.65,clear sky
250,Shubarshi,KZ,48.5872,57.1869,16.65,82,99,7.45,overcast clouds
251,Vao,NC,-22.6667,167.4833,79.11,83,92,7.83,overcast clouds
252,Camana,PE,-16.6228,-72.7111,77.61,76,23,10.4,few clouds
253,Khingansk,RU,49.1167,131.1833,-18.8,100,21,2.95,few clouds
254,Arys,KZ,42.4252,68.795,39.85,96,100,12.39,overcast clouds
255,Jeremie,HT,18.65,-74.1167,81.1,63,38,9.82,scattered clouds
256,Loznica,RS,44.5342,19.2242,45.86,82,100,4.14,overcast clouds
257,San Francisco,US,37.7749,-122.4194,47.32,82,75,5.99,broken clouds
258,Saint-Joseph,RE,-21.3667,55.6167,80.98,83,72,13.47,broken clouds
259,Avera,US,33.194,-82.5271,51.39,80,100,4.0,overcast clouds
260,Le Port,RE,-20.9373,55.2919,82.4,84,88,3.94,light rain
261,Kupino,RU,54.3663,77.2981,-6.45,97,25,3.74,scattered clouds
262,Ornskoldsvik,SE,63.2909,18.7153,22.15,79,0,6.91,clear sky
263,Coihaique,CL,-45.5752,-72.0662,65.01,63,75,10.36,broken clouds
264,Lorengau,PG,-2.0226,147.2712,80.37,79,47,2.19,scattered clouds
265,Narsaq,GL,60.9167,-46.05,16.02,93,54,3.22,broken clouds
266,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,62,20,8.01,few clouds
267,Kiunga,PG,-6.1219,141.2906,74.03,96,98,0.29,overcast clouds
268,Steubenville,US,40.3698,-80.634,28.98,59,40,7.0,scattered clouds
269,Axim,GH,4.8699,-2.2405,85.39,65,21,11.41,few clouds
270,Bambous Virieux,MU,-20.3428,57.7575,81.21,83,40,6.91,light rain
271,Puerto Madryn,AR,-42.7692,-65.0385,83.66,30,96,8.9,overcast clouds
272,Herouville-Saint-Clair,FR,49.2109,-0.3065,50.99,76,75,12.66,broken clouds
273,Kailua,US,21.4022,-157.7394,71.58,94,75,1.01,broken clouds
274,Verkhnyaya Inta,RU,65.9811,60.3094,13.42,95,96,6.42,overcast clouds
275,Vitim,RU,59.4511,112.5578,7.0,95,100,10.2,light snow
276,Cayenne,GF,4.9333,-52.3333,82.44,78,75,5.75,broken clouds
277,Douentza,ML,14.9951,-2.9517,92.52,5,92,6.71,overcast clouds
278,Tefe,BR,-3.3542,-64.7114,80.71,89,75,4.61,broken clouds
279,Namibe,AO,-15.1961,12.1522,76.68,71,64,10.49,broken clouds
280,Sarangani,PH,5.4033,125.4636,81.39,79,92,20.15,overcast clouds
281,Tartagal,AR,-22.5164,-63.8013,96.85,28,6,6.91,clear sky
282,Altamira,BR,-3.2033,-52.2064,86.09,66,75,6.91,broken clouds
283,Qui Nhon,VN,13.7667,109.2333,74.91,92,93,8.5,overcast clouds
284,San Patricio,US,28.017,-97.5169,39.29,86,100,11.03,overcast clouds
285,Druzhba,UA,52.0428,33.9453,30.79,97,100,8.3,light snow
286,Pakxe,LA,15.1167,105.7833,79.18,70,94,1.66,overcast clouds
287,Nikolo-Pavlovskoye,RU,57.7831,60.0578,11.14,99,86,2.86,overcast clouds
288,Bokajan,IN,26.0167,93.7833,63.55,56,1,1.41,clear sky
289,Goundi,TD,9.3627,17.366,100.45,8,7,7.0,clear sky
290,Zharkent,KZ,44.1628,80.0,25.23,83,100,2.71,overcast clouds
291,Katobu,ID,-4.9408,122.5276,73.94,96,100,2.86,light rain
292,Balabac,PH,7.9868,117.0645,80.65,83,98,14.85,overcast clouds
293,Griffith,US,41.5284,-87.4237,29.05,65,0,12.66,clear sky
294,Djibo,BF,14.1022,-1.6306,95.86,6,36,5.64,scattered clouds
295,Puerto Leguizamo,CO,-0.1934,-74.7819,90.25,31,26,6.33,scattered clouds
296,Athabasca,CA,54.7169,-113.2854,-16.19,90,100,11.74,overcast clouds
297,Abbeville,FR,50.1,1.8333,51.26,86,51,17.0,broken clouds
298,Pietersburg,ZA,-23.9045,29.4688,65.25,94,75,6.91,light rain
299,Swan Hill,AU,-35.3378,143.5544,53.67,66,2,14.05,clear sky
300,Koutsouras,GR,35.0339,25.9469,59.11,53,0,1.01,clear sky
301,Egvekinot,RU,66.3167,-179.1667,-2.97,91,54,12.73,broken clouds
302,Salalah,OM,17.0151,54.0924,75.29,57,0,6.91,clear sky
303,Alta Floresta,BR,-9.8756,-56.0861,86.81,59,36,2.46,scattered clouds
304,Matara,LK,5.9485,80.5353,75.7,91,100,2.77,overcast clouds
305,Bourail,NC,-21.5667,165.4833,75.69,83,32,4.85,scattered clouds
306,Muravlenko,RU,63.7898,74.523,10.24,96,6,10.8,clear sky
307,Huilong,CN,31.8111,121.655,39.92,70,100,8.08,light rain
308,Ballina,AU,-28.8667,153.5667,74.01,99,37,8.41,scattered clouds
309,Jacareacanga,BR,-6.2222,-57.7528,86.34,61,73,4.81,broken clouds
310,Monte Alegre,BR,-2.0078,-54.0692,79.74,73,80,2.26,broken clouds
311,Marshfield,US,44.6689,-90.1718,15.71,79,100,13.8,haze
312,General Teran,MX,25.2667,-99.6833,48.15,55,76,7.14,broken clouds
313,Troitsko-Pechorsk,RU,62.7084,56.1964,11.21,95,97,6.08,overcast clouds
314,Maxixe,MZ,-23.8597,35.3472,85.82,66,20,11.5,few clouds
315,Ixtapa,MX,20.7,-105.2,63.63,94,0,6.91,clear sky
316,Dunedin,NZ,-45.8742,170.5036,65.8,84,100,1.99,overcast clouds
317,Lasa,IT,46.6166,10.7002,41.88,93,49,8.28,scattered clouds
318,Bamnet Narong,TH,15.4992,101.6897,79.92,49,50,5.73,scattered clouds
319,Kharan,PK,28.5833,65.4167,63.27,33,0,0.87,clear sky
320,Mount Gambier,AU,-37.8333,140.7667,50.97,74,97,16.67,light rain
321,Excelsior Springs,US,39.3392,-94.2261,35.49,65,0,0.0,clear sky
322,Berlevag,NO,70.8578,29.0864,24.8,93,75,12.66,light snow
323,Mangai,CD,-4.05,19.5333,79.74,65,94,0.89,overcast clouds
324,Mahibadhoo,MV,3.7833,72.9667,80.19,69,3,11.81,clear sky
325,Muroto,JP,33.2833,134.15,46.42,69,79,12.19,broken clouds
326,Rockhampton,AU,-23.3833,150.5,78.69,89,26,5.75,scattered clouds
327,Wanaka,NZ,-44.7,169.15,62.11,93,100,1.99,light rain
328,Port Macquarie,AU,-31.4333,152.9167,69.89,94,13,9.71,few clouds
329,Lata,PT,40.1629,-8.3327,63.07,46,0,3.27,clear sky
330,Puerto Escondido,MX,15.85,-97.0667,77.83,88,0,2.3,clear sky
331,Numan,NG,9.4667,12.0333,101.05,8,38,7.45,scattered clouds
332,Miramar,US,25.9873,-80.2323,83.01,72,20,11.5,few clouds
333,Mount Isa,AU,-20.7333,139.5,74.97,78,100,4.61,light rain
334,Leningradskiy,RU,69.3833,178.4167,-10.46,99,99,7.87,overcast clouds
335,Storm Lake,US,42.6411,-95.2097,16.02,86,0,25.32,mist
336,Srednekolymsk,RU,67.45,153.6833,-29.88,100,96,2.95,overcast clouds
337,Gualeguaychu,AR,-33.0094,-58.5172,74.89,81,100,6.4,overcast clouds
338,Maputo,MZ,-25.9653,32.5892,83.88,65,20,18.41,few clouds
339,Ayan,RU,56.45,138.1667,-11.63,81,92,8.81,overcast clouds
340,Maltahohe,NA,-24.8333,16.9833,82.17,38,100,7.96,overcast clouds
341,Hervey Bay,AU,-25.2986,152.8535,76.95,90,30,2.57,scattered clouds
342,Bambanglipuro,ID,-7.95,110.2833,76.39,87,99,4.61,moderate rain
343,Bam,IR,29.106,58.357,58.86,60,28,5.26,scattered clouds
344,Savannah Bight,HN,16.45,-85.85,77.52,77,20,10.54,few clouds
345,Ocos,GT,14.5094,-92.1933,80.78,60,4,2.35,clear sky
346,Ilebo,CD,-4.3167,20.5833,84.79,61,58,1.25,broken clouds
347,Paamiut,GL,61.994,-49.6678,12.0,84,100,15.75,light snow
348,Saldanha,ZA,-33.0117,17.9442,75.25,76,0,21.77,clear sky
